iso_codes,n_feat,cwals_old,cwals_new,id,genus,name
buo,6,0.8333333333333334,0.8333333333333334,bun,East Bougainville,Buin
buu,7,0.42857142857142855,0.42857142857142855,bdu,Bantoid,Budu
bvq,1,1,1,brz,Bongo-Bagirmi,Birri
bvr,6,0.8333333333333334,0.8333333333333334,bua,Burarran,Burarra
bvx,3,1,1,bbl,Bantoid,Babole
bvz,4,0.5625,0.5,bzi,East Geelvink Bay,Bauzi
bwe,7,0.2857142857142857,0.2857142857142857,kbw,Karen,Karen (Bwe)
bwi,1,0,0,bnw,Inland Northern Maipuran,Baniwa
bxk,1,0.75,0.6666666666666666,buk,Bantoid,Bukusu
bxm,12,0.8819444444444444,0.8722222222222222,but,Mongolic,Buriat
byn,6,1,1,bln,Central Cushitic,Bilin
byr,5,1,1,bry,Angan,Baruya
byw,10,0.8654761904761905,0.83,bel,Mahakiranti,Belhare
byx,3,0.75,0.6666666666666666,bng,Baining,Qaget
bzd,10,0.49166666666666664,0.4,bri,Talamanca,Bribri
bzf,2,1,1,boi,Ndu,Boiken
bzi,2,1,1,NA,NA,NA
bzq,3,0.41666666666666663,0.33333333333333337,bui,South Halmahera - West New Guinea,Buli (in Indonesia)
bzr,9,0.5185185185185185,0.4814814814814815,bii,Northern Pama-Nyungan,Biri
caa,1,1,1,coi,Mayan,Chortí
cab,9,0.6944444444444444,0.6666666666666666,grf,Caribbean Arawakan,Garífuna
cac,3,1,1,NA,NA,NA
cak,3,0.6666666666666666,0.6666666666666666,cak,Mayan,Cakchiquel
cam,9,0.11111111111111109,0.11111111111111109,cem,Oceanic,Cèmuhî
can,2,1,1,chb,Lower Sepik,Chambri
cao,13,0.6153846153846154,0.6153846153846154,cbo,Panoan,Chácobo
cap,6,0.6666666666666666,0.6666666666666666,cpy,Uru-Chipaya,Chipaya
caq,17,0.28949579831932776,0.2352941176470588,nca,Nicobarese,Nicobarese (Car)
car,17,0.6024509803921568,0.5588235294117647,car,Cariban,Carib
cas,7,0.7476190476190476,0.7214285714285714,mos,Mosetenan,Mosetén
cat,8,0.234375,0.20833333333333334,ctl,Romance,Catalan
cav,3,0.8888888888888888,0.8333333333333334,cav,Tacanan,Cavineña
cax,4,1,1,cqt,Chiquito,Chiquitano
cbc,7,1,1,crp,Tucanoan,Carapana
cbi,7,0.7142857142857143,0.7142857142857143,cay,Barbacoan,Cayapa
cbk,1,1,1,cvc,Creoles and Pidgins,Chavacano
cbr,8,0.625,0.625,cas,Panoan,Cashibo
cbs,2,0.25,0.16666666666666666,csh,Panoan,Cashinahua
cbt,1,0.5,0.3333333333333333,chy,Cahuapanan,Chayahuita
cbu,3,0.6666666666666666,0.6666666666666666,can,NA,Candoshi
cco,11,0.5,0.4848484848484848,ccm,Chinantecan,Chinantec (Comaltepec)
cdm,5,0.7833333333333333,0.7,cpn,Mahakiranti,Chepang
ceb,9,0.4722222222222222,0.4444444444444444,ceb,Greater Central Philippine,Cebuano
ces,11,0.6363636363636364,0.6363636363636364,cze,Slavic,Czech
cgg,18,0.5439814814814815,0.5092592592592593,nko,Bantoid,Nkore-Kiga
cha,23,0.3759316770186335,0.3130434782608696,cha,Chamorro,Chamorro
chb,5,1,1,msc,Chibcha-Duit,Muisca
chc,1,0,0,ctw,Catawban,Catawba
chd,1,0.25,0,cho,Tequistlatecan,Chontal (Highland)
che,12,0.5416666666666666,0.5277777777777778,chc,Nakh,Chechen
chf,10,0.5,0.5,cmy,Mayan,Chontal Maya
chh,7,0.5714285714285714,0.5714285714285714,ckl,Chinookan,Chinook (Lower)
chk,4,0.5625,0.5,cuu,Oceanic,Chuukese
chl,18,0.7680555555555556,0.753968253968254,cah,California Uto-Aztecan,Cahuilla
cho,11,0.9090909090909091,0.9090909090909091,cct,Muskogean,Choctaw
chp,6,0.6666666666666666,0.6666666666666666,chp,Athapaskan,Chipewyan
chq,6,0.5,0.5,chq,Chinantecan,Chinantec (Quiotepec)
chr,8,0.75,0.75,che,Southern Iroquoian,Cherokee
cht,8,1,1,NA,NA,NA
chv,17,0.6931372549019608,0.6773109243697479,chv,Turkic,Chuvash
chx,6,0.7777777777777778,0.7666666666666666,chn,Bodic,Chantyal
chy,3,0.5833333333333334,0.5555555555555556,cyn,Algonquian,Cheyenne
cic,1,1,1,cck,Muskogean,Chickasaw
cid,12,0.6555555555555556,0.6111111111111112,chi,Chimariko,Chimariko
cir,16,0.22135416666666669,0.18125,tin,Oceanic,Tinrin
cja,1,0,0,chw,Malayo-Sumbawan,Cham (Western)
cjh,2,1,1,chl,Tsamosan,Chehalis (Upper)
cjs,1,0,0,shr,Turkic,Shor
ckb,13,0.8461538461538461,0.8461538461538461,krd,Iranian,Kurdish (Central)
cko,9,0.25,0.2222222222222222,anu,Kwa,Anufo
ckt,28,0.5194727891156462,0.4702380952380952,chk,Northern Chukotko-Kamchatkan,Chukchi
cku,24,0.7722222222222223,0.7464285714285714,koa,Muskogean,Koasati
cla,2,0,0,ron,West Chadic,Ron
cld,6,1,1,cld,Semitic,Chaldean (Modern)
cle,21,0.43373015873015874,0.3928571428571429,cle,Chinantecan,Chinantec (Lealao)
clh,8,1,1,NA,NA,NA
clk,1,1,1,idu,Digaroan,Idu
clm,1,1,1,cla,Central Salish,Clallam
clo,8,0.75,0.75,chx,Tequistlatecan,Chontal (Huamelultec Oaxaca)
cme,5,0.2,0.2,kir,Southern-Central Gur,Kirma
cmi,1,1,1,emc,Choco,Embera Chami
cmn,25,0.2987142857142857,0.20800000000000002,kug,Chinese,Kunming
cng,8,0.7083333333333334,0.7,NA,NA,NA
cnh,14,0.06887755102040817,0.04761904761904762,lai,Kuki-Chin,Lai
cni,15,0.6433333333333333,0.6166666666666667,NA,NA,NA
cnm,3,1,1,NA,NA,NA
cnt,1,0.5,0.3333333333333333,cte,Chinantecan,Chinantec (Tepetotutla)
coc,5,0.74,0.68,ccp,Yuman,Cocopa
cod,11,0.5227272727272727,0.5151515151515151,coc,Tupi-Guaraní,Cocama
coe,2,1,1,kje,Tucanoan,Koreguaje
cof,5,0.95,0.9333333333333333,tsf,Barbacoan,Tsafiki
col,1,1,1,cwe,Interior Salish,Columbia-Wenatchi
com,21,0.6146825396825397,0.5723356009070295,cmn,Numic,Comanche
coo,4,1,1,cmx,Central Salish,Comox
cop,10,0.4666666666666667,0.45000000000000007,cop,Egyptian-Coptic,Coptic
cor,10,0.4,0.4,crn,Celtic,Cornish
cpa,10,0.575,0.5666666666666667,cpl,Chinantecan,Chinantec (Palantla)
cpc,15,0.6433333333333333,0.6166666666666667,NA,NA,NA
cqd,24,0.14350198412698414,0.0486111111111111,NA,NA,NA
crd,5,0.6,0.6,coe,Interior Salish,Coeur d'Alene
crh,1,0.6666666666666666,0.5,cri,Turkic,Crimean Tatar
crk,23,0.6400621118012422,0.5978260869565217,cre,Algonquian,Cree (Plains)
crn,6,0.6666666666666666,0.6666666666666666,cor,Corachol,Cora
cro,4,0.75,0.75,cro,Core Siouan,Crow
crq,1,0,0,NA,NA,NA
crt,1,0,0,NA,NA,NA
crw,14,0.1130952380952381,0.07142857142857144,chr,Bahnaric,Chrau
csm,1,1,1,mcs,Miwok,Miwok (Central Sierra)
css,6.5,0.775,0.775,cos,Costanoan,Rumsien
csw,3,0.6666666666666666,0.6666666666666666,cea,Algonquian,Cree (Swampy)
csy,9,0.1111111111111111,0.1111111111111111,chs,Kuki-Chin,Chin (Siyin)
csz,22,0.5375,0.5116883116883116,coo,Coosan,Coos (Hanis)
